Year,Cover_CDL,Area,Percentage_Cover,Non_Cover_CDL,Area,Percentage_Non_Cover,Total_Crop_and Year_Wise_Acres
2013,Cover Crops-Soybean,243432.32,8.02,Non Cover Crops-Soybean,2793568.20,91.98,3037000.52
2014,Cover Crops-Soybean,178035.88,5.74,Non Cover Crops-Soybean,2924847.00,94.26,3102882.88
2015,Cover Crops-Soybean,285994.96,9.02,Non Cover Crops-Soybean,2885106.23,90.98,3171101.19
2016,Cover Crops-Soybean,293529.65,8.00,Non Cover Crops-Soybean,3374507.64,92.00,3668037.29
2017,Cover Crops-Soybean,213859.53,6.07,Non Cover Crops-Soybean,3311138.92,93.93,3524998.44
2018,Cover Crops-Soybean,275349.30,10.31,Non Cover Crops-Soybean,2396154.04,89.69,2671503.34
2019,Cover Crops-Soybean,377750.26,13.29,Non Cover Crops-Soybean,2463979.84,86.71,2841730.10
2013,Cover Crops-Corn,32714.23,7.16,Non Cover Crops-Corn,424431.50,92.84,457145.74
2014,Cover Crops-Corn,27898.00,7.55,Non Cover Crops-Corn,341373.31,92.45,369271.31
2015,Cover Crops-Corn,68956.86,10.95,Non Cover Crops-Corn,560513.42,89.05,629470.27
2016,Cover Crops-Corn,41164.27,8.65,Non Cover Crops-Corn,434621.50,91.35,475785.77
2017,Cover Crops-Corn,50814.08,9.34,Non Cover Crops-Corn,493318.09,90.66,544132.17
2018,Cover Crops-Corn,102319.57,15.70,Non Cover Crops-Corn,549425.20,84.30,651744.77
2019,Cover Crops-Corn,96379.17,17.89,Non Cover Crops-Corn,442415.27,82.11,538794.44
2013,Cover Crops-Cotton,29294.59,9.24,Non Cover Crops-Cotton,287696.22,90.76,316990.81
2014,Cover Crops-Cotton,13085.25,6.89,Non Cover Crops-Cotton,176849.44,93.11,189934.69
2015,Cover Crops-Cotton,45221.28,13.37,Non Cover Crops-Cotton,292985.25,86.63,338206.52
2016,Cover Crops-Cotton,55979.02,15.54,Non Cover Crops-Cotton,304168.42,84.46,360147.44
2017,Cover Crops-Cotton,46705.71,10.67,Non Cover Crops-Cotton,390951.15,89.33,437656.86
2018,Cover Crops-Cotton,189360.04,33.67,Non Cover Crops-Cotton,372982.95,66.33,562342.99
2019,Cover Crops-Cotton,135406.75,28.85,Non Cover Crops-Cotton,333993.85,71.15,469400.59
2013,Cover Crops-Other Crops,371817.64,15.18,Non Cover Crops-Other Crops,2076972.28,84.82,2448789.92
2014,Cover Crops-Other Crops,221645.74,8.63,Non Cover Crops-Other Crops,2346576.20,91.37,2568221.94
2015,Cover Crops-Other Crops,214901.19,10.20,Non Cover Crops-Other Crops,1891310.08,89.80,2106211.27
2016,Cover Crops-Other Crops,170895.48,9.77,Non Cover Crops-Other Crops,1577949.96,90.23,1748845.44
2017,Cover Crops-Other Crops,95472.50,5.45,Non Cover Crops-Other Crops,1654903.41,94.55,1750375.91
2018,Cover Crops-Other Crops,313092.36,12.81,Non Cover Crops-Other Crops,2130199.04,87.19,2443291.40
2019,Cover Crops-Other Crops,295135.51,11.99,Non Cover Crops-Other Crops,2166128.54,88.01,2461264.05
