County,Govt_Row Total_2013_2019_Acres,Model_Row_Total__2013_2019_Acres,Voluntary_Adoption_Diff_Govt_row_minus_Model_row,Govt_2013__Acres,Govt_2014__Acres,Govt_2015__Acres,Govt_2016__Acres,Govt_2017__Acres,Govt_2018__Acres,Govt_2019__Acres,Model_2013__Acres,Model_2014__Acres,Model_2015__Acres,Model_2016__Acres,Model_2017__Acres,Model_2018__Acres,Model_2019__Acres,Voluntary_Adoption_Percentage,Government_Subsidized_Adoption_Percentage,Voluntary_2013,Voluntary_2014,Voluntary_2015,Voluntary_2016,Voluntary_2017,Voluntary_2018,Voluntary_2019
Arkansas,26533.4,240598.1586,214064.7586,463,2099,4753,2669.4,4741,4483,7325,39168.0466,37639.47052,38212.63261,19780.57012,22671.73199,50340.8554,32784.85131,88.9719023,11.0280977,38705.0466,35540.47052,33459.63261,17111.17012,17930.73199,45857.8554,25459.85131
Ashley,260,150071.7598,149811.7598,0,0,0,0,0,0,260,36246.22344,14159.73958,19591.47287,8131.885261,19142.12954,31267.29964,21533.00942,99.82674955,0.173250451,36246.22344,14159.73958,19591.47287,8131.885261,19142.12954,31267.29964,21273.00942
Chicot,28665.6,348570.2774,319904.6774,0,1940,0,2390.9,536.8,1044,22753.9,98779.90334,17348.72648,54095.91232,19359.74407,28411.4012,66991.66365,63582.92639,91.77623514,8.223764863,98779.90334,15408.72648,54095.91232,16968.84407,27874.6012,65947.66365,40829.02639
Clay,6816,111731.9254,104915.9254,0,0,0,0,0,409,6407,5782.253693,9321.960502,9282.827822,26436.15517,4537.650036,26919.6,29451.47816,93.89968447,6.100315533,5782.253693,9321.960502,9282.827822,26436.15517,4537.650036,26510.6,23044.47816
Craighead,37952.99,184423.6819,146470.6919,2859.99,1284.24,2003.5,764.8,474,16136.46,14430,12775.08187,10414.01979,23782.26967,29620.10805,11644.78672,53563.38375,42624.032,79.42076114,20.57923886,9915.091872,9129.779788,21778.76967,28855.30805,11170.78672,37426.92375,28194.032
Crittenden,9193.3,180992.6188,171799.3188,68.4,365.4,1953.1,2744.4,1779.7,2003.9,278.4,30935.62283,15439.43131,31861.65376,18125.3602,14463.0881,28441.47235,41725.99028,94.92062159,5.079378408,30867.22283,15074.03131,29908.55376,15380.9602,12683.3881,26437.57235,41447.59028
Cross,8320.03,126806.1243,118486.0943,0,0,0,474.53,1098.2,1734.2,5013.1,8686.850557,12476.03724,16184.1268,23346.29996,12751.6008,24252.48522,29108.72377,93.43877905,6.561220953,8686.850557,12476.03724,16184.1268,22871.76996,11653.4008,22518.28522,24095.62377
Desha,19914.4,266115.6416,246201.2416,0,0,0,0,125.2,575.2,19214,55175.3292,28861.94063,38405.62647,17280.55284,33457.26159,42178.71983,50756.21109,92.5166368,7.483363202,55175.3292,28861.94063,38405.62647,17280.55284,33332.06159,41603.51983,31542.21109
Drew,7614.8,85412.13041,77797.33041,0,0,0,0,0,0,7614.8,18266.55806,8048.418936,9246.608184,5342.491882,16784.89924,13553.93372,14169.22039,91.08463872,8.915361276,18266.55806,8048.418936,9246.608184,5342.491882,16784.89924,13553.93372,6554.420394
Greene,0,81890.36178,81890.36178,0,0,0,0,0,0,0,5308.000667,6874.13994,6734.913827,19998.3527,4630.730372,17139.0362,21205.18808,100,0,5308.000667,6874.13994,6734.913827,19998.3527,4630.730372,17139.0362,21205.18808
Independence,1026,32927.6945,31901.6945,0,0,488,0,360,178,0,3785.333802,4845.651777,3196.44719,6149.378107,2879.165018,3063.434674,9008.283932,96.88408188,3.115918122,3785.333802,4845.651777,2708.44719,6149.378107,2519.165018,2885.434674,9008.283932
Jackson,5855,117306.3246,111451.3246,0,0,117,285,1050,3967,436,6453.728677,14831.22864,17293.92177,19792.17044,12322.09041,19810.29489,26802.88977,95.00879426,4.991205735,6453.728677,14831.22864,17176.92177,19507.17044,11272.09041,15843.29489,26366.88977
Jefferson,9744,175806.334,166062.334,0,58.1,0,2100.2,1294,1538.3,4753.4,32690.66419,35065.8191,29344.53258,15683.98279,14209.30142,22758.50045,26053.53346,94.45753758,5.542462424,32690.66419,35007.7191,29344.53258,13583.78279,12915.30142,21220.20045,21300.13346
Lawrence,293,48075.98731,47782.98731,0,0,0,0,41,252,0,2867.860907,4954.785391,4474.976453,11946.69623,2957.366229,7680.490354,13193.81175,99.39054814,0.609451862,2867.860907,4954.785391,4474.976453,11946.69623,2916.366229,7428.490354,13193.81175
Lee,21901.4,335316.0257,313414.6257,2650.2,1661.8,53.2,1861,1951.7,2565.9,11157.6,48298.5203,18102.01446,38978.7493,49362.41255,33055.16706,63159.21582,84359.9462,93.46843028,6.53156972,45648.3203,16440.21446,38925.5493,47501.41255,31103.46706,60593.31582,73202.3462
Lincoln,8776.5,174252.5817,165476.0817,0,0,260,388,858,1497,5773.5,33980.71274,27040.93503,24929.28042,17914.35911,14375.39963,24867.71868,31144.17611,94.96334579,5.036654214,33980.71274,27040.93503,24669.28042,17526.35911,13517.39963,23370.71868,25370.67611
Lonoke,44502,146565.5149,102063.5149,325.8,1686.7,6616.2,300.1,1103.3,4819.2,29650.7,24760.07006,21682.46809,23130.41009,20156.75845,7833.490637,25066.0993,23936.21822,69.63678663,30.36321337,24434.27006,19995.76809,16514.21009,19856.65845,6730.190637,20246.8993,-5714.481782
Mississippi,50397.89,254536.5968,204138.7068,1173.4,2863.26,3503,4132.92,3064.77,11605.7,24054.84,27169.56649,17820.29037,39566.35534,47752.15943,17674.51298,64450.81625,40102.89589,80.20013992,19.79986008,25996.16649,14957.03037,36063.35534,43619.23943,14609.74298,52845.11625,16048.05589
Monroe,8563.78,179599.3403,171035.5603,0,0,0,0,0,4273,4290.78,28668.71834,17656.65066,19509.31448,23913.92126,17887.41889,37431.31033,34532.00636,95.23173082,4.768269185,28668.71834,17656.65066,19509.31448,23913.92126,17887.41889,33158.31033,30241.22636
Phillips,33249.64,417004.3947,383754.7547,1193.4,1246.34,1717.7,1612.8,2032.4,9719,15728,59925.4453,21353.65807,56254.49988,46767.33771,55400.38285,79462.84297,97840.22792,92.02654926,7.973450741,58732.0453,20107.31807,54536.79988,45154.53771,53367.98285,69743.84297,82112.22792
Poinsett,62,144295.5286,144233.5286,0,0,0,0,0,62,0,8348.039983,11897.12035,17248.05392,32035.54804,13391.2042,31403.27506,29972.28707,99.95703263,0.042967374,8348.039983,11897.12035,17248.05392,32035.54804,13391.2042,31341.27506,29972.28707
Prairie,8067.5,133778.4418,125710.9418,0,3175.4,335.9,0,0,4239.2,317,22767.29173,18704.37882,18542.06146,15093.83624,7743.487846,26770.12067,24157.265,93.96950668,6.030493324,22767.29173,15528.97882,18206.16146,15093.83624,7743.487846,22530.92067,23840.265
Pulaski,358.7,42844.20587,42485.50587,0,0,0,343.7,15,0,0,6727.956112,7091.550738,7973.394148,4329.665179,1556.583233,6247.341746,8917.714709,99.16278061,0.837219392,6727.956112,7091.550738,7973.394148,3985.965179,1541.583233,6247.341746,8917.714709
Randolph,1127.3,23775.87354,22648.57354,0,0,0,0,0,1127.3,0,1964.01427,1623.067832,2062.223587,3812.140282,1599.800879,6238.088047,6476.538646,95.25863898,4.741361019,1964.01427,1623.067832,2062.223587,3812.140282,1599.800879,5110.788047,6476.538646
St Francis,56644.2,198271.3676,141627.1676,882.4,2377.3,8562.9,3821.7,3831.7,15407,21761.2,22462.12853,16565.16371,26741.98551,21464.15958,19503.35539,41652.56366,49882.01127,71.43097328,28.56902672,21579.72853,14187.86371,18179.08551,17642.45958,15671.65539,26245.56366,28120.81127
White,6999.4,101669.6468,94670.24684,0,0,0,0,29,6828.6,141.8,13721.75193,14401.29068,14158.70854,11260.16535,4749.56626,23990.47949,19387.68459,93.11554607,6.884453933,13721.75193,14401.29068,14158.70854,11260.16535,4720.56626,17161.87949,19245.88459
Woodruff,0,183558.5312,183558.5312,0,0,0,0,0,0,0,21556.02034,26445.63657,24282.85196,26676.75224,11198.64772,41483.70037,31914.92198,100,0,21556.02034,26445.63657,24282.85196,26676.75224,11198.64772,41483.70037,31914.92198
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
