Year,CDL_Cover,Area,Percentage_Cover,CDL_Non_Cover,Area,Percentage_Non_Cover,Total_Crop_and Year_Wise_Acres
2013,Soybean-Cover Crops,288765.46,9.54,Soybean-Non Cover Crops,2739366.49,90.46,3028131.95
2014,Soybean-Cover Crops,223989.47,7.44,Soybean-Non Cover Crops,2785374.13,92.56,3009363.60
2015,Soybean-Cover Crops,330550.85,10.67,Soybean-Non Cover Crops,2767914.75,89.33,3098465.60
2016,Soybean-Cover Crops,289139.73,9.09,Soybean-Non Cover Crops,2891266.79,90.91,3180406.52
2017,Soybean-Cover Crops,267705.41,7.30,Soybean-Non Cover Crops,3399078.28,92.70,3666783.69
2018,Soybean-Cover Crops,502105.26,14.36,Soybean-Non Cover Crops,2995323.20,85.64,3497428.47
2019,Soybean-Cover Crops,361937.66,13.62,Soybean-Non Cover Crops,2294916.16,86.38,2656853.82
2013,Corn-Cover Crops,87865.97,11.41,Corn-Non Cover Crops,682308.52,88.59,770174.50
2014,Corn-Cover Crops,37672.57,8.29,Corn-Non Cover Crops,416599.04,91.71,454271.61
2015,Corn-Cover Crops,54180.13,14.79,Corn-Non Cover Crops,312175.91,85.21,366356.04
2016,Corn-Cover Crops,82496.66,13.10,Corn-Non Cover Crops,547208.67,86.90,629705.34
2017,Corn-Cover Crops,58399.26,12.35,Corn-Non Cover Crops,414342.92,87.65,472742.18
2018,Corn-Cover Crops,61098.37,11.25,Corn-Non Cover Crops,481844.92,88.75,542943.29
2019,Corn-Cover Crops,112264.71,17.27,Corn-Non Cover Crops,537762.56,82.73,650027.28
2013,Cotton-Cover Crops,26120.24,9.02,Cotton-Non Cover Crops,263486.73,90.98,289606.97
2014,Cotton-Cover Crops,15797.70,5.09,Cotton-Non Cover Crops,294699.18,94.91,310496.89
2015,Cotton-Cover Crops,19603.63,10.15,Cotton-Non Cover Crops,173499.41,89.85,193103.04
2016,Cotton-Cover Crops,48725.65,14.44,Cotton-Non Cover Crops,288770.79,85.56,337496.44
2017,Cotton-Cover Crops,29862.12,8.26,Cotton-Non Cover Crops,331777.54,91.74,361639.66
2018,Cotton-Cover Crops,168467.46,38.63,Cotton-Non Cover Crops,267598.00,61.37,436065.46
2019,Cotton-Cover Crops,156491.03,27.97,Cotton-Non Cover Crops,402946.03,72.03,559437.06
2013,Other Crops-Cover Crops,270884.21,12.60,Other Crops-Non Cover Crops,1878510.16,87.40,2149394.37
2014,Other Crops-Cover Crops,159723.42,6.56,Other Crops-Non Cover Crops,2275219.79,93.44,2434943.22
2015,Other Crops-Cover Crops,207797.03,8.09,Other Crops-Non Cover Crops,2360745.59,91.91,2568542.62
2016,Other Crops-Cover Crops,139873.17,6.69,Other Crops-Non Cover Crops,1950807.49,93.31,2090680.65
2017,Other Crops-Cover Crops,50003.04,2.87,Other Crops-Non Cover Crops,1691924.83,97.13,1741927.87
2018,Other Crops-Cover Crops,131910.82,7.55,Other Crops-Non Cover Crops,1616384.43,92.45,1748295.26
2019,Other Crops-Cover Crops,271548.26,11.16,Other Crops-Non Cover Crops,2160868.42,88.84,2432416.68
