County,Year_2013_Voluntary_Adoption,Year_2014_Voluntary_Adoption,Year_2015_Voluntary_Adoption,Year_2016_Voluntary_Adoption,Year_2017_Voluntary_Adoption,Year_2018_Voluntary_Adoption,Year_2019_Voluntary_Adoption
Arkansas,38705,35540,33460,17111,17931,45858,25460
Ashley,36246,14160,19591,8132,19142,31267,21273
Chicot,98780,15409,54096,16969,27875,65948,40829
Clay,5782,9322,9283,26436,4538,26511,23044
Craighead,9915,9130,21779,28855,11171,37427,28194
Crittenden,30867,15074,29909,15381,12683,26438,41448
Cross,8687,12476,16184,22872,11653,22518,24096
Desha,55175,28862,38406,17281,33332,41604,31542
Drew,18267,8048,9247,5342,16785,13554,6554
Greene,5308,6874,6735,19998,4631,17139,21205
Independence,3785,4846,2708,6149,2519,2885,9008
Jackson,6454,14831,17177,19507,11272,15843,26367
Jefferson,32691,35008,29345,13584,12915,21220,21300
Lawrence,2868,4955,4475,11947,2916,7428,13194
Lee,45648,16440,38926,47501,31103,60593,73202
Lincoln,33981,27041,24669,17526,13517,23371,25371
Lonoke,24434,19996,16514,19857,6730,20247,-5714
Mississippi,25996,14957,36063,43619,14610,52845,16048
Monroe,28669,17657,19509,23914,17887,33158,30241
Phillips,58732,20107,54537,45155,53368,69744,82112
Poinsett,8348,11897,17248,32036,13391,31341,29972
Prairie,22767,15529,18206,15094,7743,22531,23840
Pulaski,6728,7092,7973,3986,1542,6247,8918
Randolph,1964,1623,2062,3812,1600,5111,6477
St. Francis,21580,14188,18179,17642,15672,26246,28121
White,13722,14401,14159,11260,4721,17162,19246
Woodruff,21556,26446,24283,26677,11199,41484,31915
